Department_ID,Department_Name,DOE
IDEPT5528,Biosciences and Bioengineering,6/28/1943
IDEPT1825,Mechanical Engineering,9/21/1971
IDEPT3868,Center for Learning and Teaching (PPCCLT),3/26/1982
IDEPT5528,Sanitation and Digital Gaming,
IDEPT7005,Centre of Studies in Resources Engineering (CSRE),8/22/1966
IDEPT7005,Centre of Studies in Craft Engineering (CSCE),8/22/1966
IDEPT9009,Centre for the Study of Ecology in Mars,7/9/2025
IDEPT3868,Center for Learning and Teaching (PPCCLT),3/26/1982
IDEPT9009,Laser Technology Enhancements,
IDEPT1825,Materials Strength Testing,9/21/1971
